company_name,industry,headquarters,founder_experience,total_funding_usd,num_funding_rounds,investors_count,status,last_funding_year,last_funding_month,founded_year
Jones Ltd,E-Commerce,India,3.0,18154056,8,2,fail,9,9,2
Anderson-Pollard,Gaming,India,0.0,8555361,1,1,fail,11,6,9
Martinez-Morgan,Biotech,US,4.0,32873261,2,9,fail,8,10,4
"Vasquez, Petersen and Miller",HealthTech,US,9.0,21012657,2,4,fail,10,11,7
"Morgan, Jensen and Garrett",HealthTech,Canada,23.0,25488963,3,4,fail,5,12,4
"Berger, Mitchell and Moore",AI,US,9.0,26205557,3,6,fail,10,8,9
Jones-Williams,FinTech,UK,4.0,28285058,4,5,fail,7,1,0
Serrano-Jones,E-Commerce,Singapore,4.0,14535103,2,4,fail,13,4,8
Conley PLC,AI,India,8.0,26019404,8,5,fail,14,3,11
"Martinez, Avila and Williams",AI,US,0.0,40248360,5,7,success,13,6,12
Valdez-Dalton,E-Commerce,US,15.0,17623229,1,6,fail,8,12,2
Gibson-Jarvis,AI,Singapore,3.0,24001888,4,5,success,12,5,12
Conley-Williams,Biotech,UK,15.0,41402650,4,5,success,14,3,6
"Crawford, Beltran and Gonzalez",HealthTech,UK,7.0,19416254,5,5,fail,14,3,8
Hampton-Moreno,EdTech,India,0.0,10830802,1,2,fail,5,6,0
"Avila, Hunt and Fischer",FinTech,Canada,0.0,20313265,2,4,fail,13,3,5
Jennings-Blair,FinTech,Germany,2.0,16812674,2,3,fail,14,2,9
"Weiss, Collins and Santos",AI,US,1.0,26266220,4,4,success,10,5,1
Pearson LLC,FinTech,India,2.0,25396321,1,5,fail,13,7,8
Friedman PLC,HealthTech,US,2.0,16802284,1,5,fail,14,3,11
"Boyer, Mills and Smith",AI,Canada,0.0,15894114,2,11,fail,11,5,9
Pierce Group,EdTech,US,18.0,14862076,3,3,fail,8,12,6
Hall-Gillespie,HealthTech,India,2.0,23766910,3,4,fail,12,6,4
Page-Mccann,EdTech,US,9.0,9364736,1,3,fail,6,11,1
Osborn-Mcdonald,HealthTech,US,0.0,20967689,2,6,fail,7,11,7
Juarez-Clark,AI,India,8.0,27803883,3,4,fail,3,10,3
Thomas LLC,E-Commerce,Singapore,0.0,17729590,6,2,fail,14,3,5
Herrera LLC,EdTech,India,5.0,12664253,2,4,fail,1,11,0
Henry LLC,Biotech,US,3.0,32711972,3,9,fail,14,3,8
Solis-Stephens,Biotech,UK,12.0,46513923,6,8,success,14,3,7
"White, Ayers and Frost",E-Commerce,US,1.0,10369511,5,4,fail,11,3,4
"Gray, Morris and Patel",Gaming,US,0.0,16353930,2,6,fail,8,4,5
Ford-Rodgers,FinTech,US,9.0,25004438,4,4,fail,4,1,1
Smith Group,Biotech,US,2.0,22136271,2,5,success,9,9,8
"Romero, Banks and Ibarra",E-Commerce,India,1.0,14865329,3,6,fail,13,6,5
Rivera PLC,E-Commerce,India,3.0,12329801,6,4,success,14,3,6
"Carter, Morgan and Jones",FinTech,US,0.0,16502957,4,3,success,9,6,7
Avery PLC,FinTech,Canada,1.0,18917588,3,4,fail,14,3,12
Rodriguez LLC,EdTech,US,2.0,11668366,1,8,fail,8,2,4
Horton-Davenport,Biotech,Israel,1.0,36062395,2,6,fail,14,3,11
Moran-Bennett,AI,India,2.0,30413864,3,4,fail,12,1,9
Garza Group,EdTech,US,2.0,5299394,1,1,fail,8,6,0
Snyder PLC,SaaS,Singapore,7.0,19411506,2,4,fail,1,12,1
Lee-Camacho,HealthTech,US,12.0,32282844,8,8,fail,2,11,2
Daniels-Rodriguez,FinTech,India,0.0,20180023,3,6,success,14,3,9
Taylor Group,FinTech,US,8.0,15713311,4,6,success,13,12,5
"Diaz, Smith and Hooper",E-Commerce,Germany,13.0,14668446,3,6,fail,14,3,10
King-Gay,HealthTech,India,5.0,13561665,1,5,fail,12,7,12
"Salinas, Allen and Edwards",FinTech,US,28.0,22427798,2,4,success,14,3,8
"Nelson, Martinez and Whitehead",FinTech,Germany,8.0,34056458,8,4,success,13,12,5
"Soto, Walker and Fox",Gaming,US,5.0,14382332,1,5,success,11,1,8
Maddox-White,FinTech,US,1.0,18292924,2,3,fail,5,10,4
Austin LLC,AI,India,6.0,33188838,2,3,fail,8,4,6
"Fowler, Lee and Olson",AI,Canada,3.0,27562564,2,9,fail,9,12,3
Waller-Gonzalez,AI,US,1.0,18760482,1,2,fail,13,7,12
"Dixon, Porter and Green",FinTech,US,0.0,11879485,1,2,fail,8,10,8
"Zuniga, Thompson and Wilson",E-Commerce,Canada,6.0,17570831,2,2,fail,7,5,4
Vaughn-Greer,FinTech,US,6.0,22956747,4,5,fail,14,3,10
Mann-James,E-Commerce,UK,3.0,11169316,1,4,fail,13,6,12
Williams-Ferguson,HealthTech,Singapore,3.0,17086577,2,3,fail,14,3,12
"Schmidt, Barnes and Black",AI,Canada,0.0,27693856,2,5,fail,7,11,4
"Allen, Leonard and Jackson",EdTech,US,3.0,9465371,1,1,fail,7,7,3
Taylor-Hall,AI,US,10.0,42754974,3,6,fail,14,3,11
Smith LLC,E-Commerce,US,9.0,18011144,2,5,fail,10,11,10
Tucker LLC,SaaS,Singapore,29.0,18629828,2,6,fail,9,12,8
Obrien Inc,HealthTech,US,11.0,24659703,3,6,success,14,3,7
"Martinez, Hancock and Ford",EdTech,UK,0.0,7452880,4,3,fail,2,10,0
Moreno Inc,SaaS,Canada,2.0,10095026,1,2,fail,6,11,6
"Rice, Johnson and Harris",E-Commerce,US,0.0,18960206,1,5,fail,10,8,8
Greene-Richardson,E-Commerce,US,3.0,18584299,1,3,fail,13,9,12
"Young, Young and Green",AI,US,7.0,23359340,3,5,fail,14,3,10
"Leonard, Nelson and Matthews",FinTech,India,0.0,13825544,2,5,fail,13,2,7
Brown Group,FinTech,Israel,10.0,30223064,3,5,fail,14,3,8
"Santana, Barber and Hall",FinTech,Israel,4.0,23574554,4,5,success,10,7,10
Aguilar Ltd,HealthTech,US,6.0,19846160,5,2,fail,10,7,2
Kennedy-Knox,AI,US,0.0,15505670,2,2,fail,14,3,11
"Craig, Cortez and Molina",SaaS,India,0.0,11260470,2,4,fail,2,4,0
Guerrero-Smith,HealthTech,Canada,4.0,10891273,8,1,fail,13,4,12
Mcgrath-Montgomery,Biotech,UK,9.0,28358629,2,4,fail,8,1,3
Johnson PLC,Biotech,India,10.0,42313503,8,4,success,14,3,10
Nixon-Jones,Biotech,India,5.0,38671624,3,10,fail,12,4,4
"Davis, Lucas and Hardin",SaaS,US,1.0,16050115,1,1,fail,8,1,3
Brooks LLC,E-Commerce,India,1.0,3148673,1,3,fail,14,3,12
"Chang, Miller and Hawkins",FinTech,Singapore,10.0,16825893,1,6,fail,14,3,12
Richardson PLC,AI,US,0.0,30453151,2,7,fail,10,10,8
"Weeks, Chan and Lee",AI,India,5.0,31966759,3,4,fail,9,12,7
"Brown, Merritt and Fletcher",SaaS,US,3.0,14260221,6,2,success,14,3,12
Phillips-Mitchell,Biotech,India,2.0,27432993,5,3,fail,3,1,2
"Walsh, Finley and Padilla",AI,India,2.0,16103360,2,2,fail,14,3,12
Moore Inc,E-Commerce,India,14.0,27888180,5,4,success,12,3,9
"Martin, Baker and Brown",HealthTech,Canada,9.0,21970949,1,3,fail,7,9,2
Harrison-Armstrong,FinTech,US,10.0,26441260,7,3,fail,11,6,4
Hernandez-Giles,AI,India,2.0,22610133,2,2,fail,13,11,9
"Richardson, Everett and Clark",AI,US,0.0,28794139,4,11,success,6,12,1
Garza LLC,SaaS,Canada,30.0,19705698,1,6,success,11,7,6
Hurley-Buckley,AI,US,0.0,29301436,3,5,fail,14,3,9
Perry and Sons,Gaming,Canada,3.0,10849019,3,2,fail,6,11,0
Allison-Mitchell,AI,US,1.0,24034183,6,5,success,4,10,2
Hawkins LLC,SaaS,US,3.0,19442607,8,2,fail,14,3,12
Brown-Butler,FinTech,US,1.0,21061835,8,3,fail,11,3,8
Ritter Ltd,Gaming,Singapore,11.0,16858704,2,2,fail,11,3,2
Johnson-Duran,EdTech,US,17.0,15175618,3,3,fail,14,3,12
Nelson LLC,HealthTech,US,2.0,12796729,5,5,success,14,3,8
Schultz-Hinton,E-Commerce,US,0.0,17189365,2,4,fail,2,10,0
Thompson-Taylor,Gaming,US,5.0,8873766,1,4,fail,6,7,3
White LLC,FinTech,US,2.0,23927813,1,7,fail,11,1,6
Garza-Miranda,E-Commerce,India,21.0,16756316,2,3,fail,11,11,6
"Daniels, Hernandez and Lee",E-Commerce,US,0.0,13294666,1,6,success,8,5,2
"Mcdowell, Padilla and Joseph",EdTech,India,0.0,7782022,3,1,success,14,3,9
Williams Inc,SaaS,US,6.0,17302628,2,4,fail,14,1,7
Watson-Rodriguez,E-Commerce,India,7.0,21011660,2,2,fail,4,10,2
"Leon, Martinez and Conner",E-Commerce,India,3.0,17684368,3,3,fail,7,7,6
Heath-Smith,Biotech,US,3.0,29830673,6,5,success,14,3,9
Lewis Inc,E-Commerce,US,1.0,9346138,1,3,fail,3,2,0
Lowe-Gonzales,Gaming,US,2.0,12033098,1,4,success,14,3,11
Morales-Mckee,E-Commerce,US,1.0,12925196,7,7,fail,7,12,1
Rose-Waller,HealthTech,UK,9.0,31097945,2,5,fail,11,12,8
Anderson-Freeman,E-Commerce,India,0.0,15853135,2,3,success,6,11,1
"Jarvis, Harrison and Molina",EdTech,UK,2.0,11629689,3,4,fail,8,6,3
Alvarado-Lee,FinTech,US,6.0,15937337,3,5,fail,7,7,0
Ayers and Sons,E-Commerce,US,0.0,11819746,1,2,fail,11,9,6
Spencer-Cook,FinTech,US,10.0,24411742,2,6,fail,4,5,2
Walker Ltd,E-Commerce,India,6.0,14814264,2,3,success,10,12,8
Hopkins-Castro,FinTech,US,11.0,24075549,2,3,success,10,3,9
"Bryant, Edwards and Jones",EdTech,Canada,3.0,9404741,2,3,success,14,3,9
Johnson Ltd,HealthTech,Singapore,10.0,24328423,3,4,fail,8,2,5
Church-Bowers,EdTech,US,10.0,16327058,2,1,success,11,11,4
Jones Ltd,Biotech,Germany,2.0,25090669,1,5,fail,8,1,1
Shields-Martinez,HealthTech,Israel,1.0,11684678,3,3,fail,14,3,7
"Garcia, Curry and Sloan",FinTech,US,7.0,19014906,1,3,fail,14,3,10
Vega-Chambers,FinTech,US,13.0,31367252,6,8,success,14,3,12
Espinoza LLC,EdTech,US,0.0,8413445,1,4,fail,14,3,10
"Roth, Higgins and Mclean",EdTech,Singapore,0.0,5674879,4,4,success,8,2,7
"Long, Beltran and Rios",EdTech,Singapore,8.0,16096669,1,3,success,10,10,4
"Thompson, Jarvis and Fernandez",E-Commerce,US,2.0,13012974,2,2,fail,10,4,8
Evans and Sons,HealthTech,UK,1.0,10845366,1,1,fail,3,7,0
Baird Group,AI,India,1.0,16697533,6,2,fail,7,7,6
"Middleton, Prince and Stout",AI,US,2.0,21638474,2,3,fail,12,9,3
Allison PLC,EdTech,US,17.0,14857668,1,2,fail,11,6,11
Morgan-Brown,E-Commerce,India,2.0,11786193,4,2,fail,10,3,8
Johnson Ltd,E-Commerce,US,16.0,21099490,2,4,fail,14,3,11
Oconnor LLC,HealthTech,US,1.0,22086933,4,3,success,8,9,7
"Graham, Reed and Calderon",HealthTech,US,9.0,22952522,2,3,fail,4,7,1
Jones Group,FinTech,India,1.0,21942033,2,5,success,5,7,5
Wright Inc,E-Commerce,US,8.0,20206329,7,4,fail,10,6,6
Stevens-Barnes,FinTech,India,2.0,16391739,1,4,fail,8,8,1
"Walters, Garrett and Collins",HealthTech,US,1.0,14639723,2,4,fail,8,9,8
Fowler-Zimmerman,EdTech,US,13.0,12370815,2,4,fail,14,3,11
Zuniga-Bush,E-Commerce,US,1.0,2068932,1,2,fail,14,3,11
"Sharp, Robinson and Stevens",EdTech,Israel,24.0,11312124,6,5,fail,11,6,6
Anderson LLC,EdTech,US,0.0,5312967,3,2,fail,14,3,10
Olson-Thomas,AI,Germany,0.0,25109849,6,3,success,14,3,12
Schultz PLC,Biotech,US,10.0,44094571,3,6,fail,14,3,7
Meyer LLC,E-Commerce,India,4.0,17121135,4,3,fail,7,10,2
"Parker, Cantu and Christensen",EdTech,US,2.0,8809260,3,3,success,10,2,3
"Martinez, Walters and Herring",Biotech,UK,0.0,34743591,4,4,success,11,10,7
"Kim, Carter and Jensen",Gaming,Canada,4.0,8041490,3,2,fail,11,3,5
Hall Group,HealthTech,US,2.0,20857280,2,4,fail,4,3,2
Stewart-Kane,E-Commerce,US,3.0,16117228,2,3,success,11,7,11
Pennington and Sons,HealthTech,UK,4.0,17555825,4,3,fail,14,3,10
Briggs LLC,AI,US,5.0,16916181,1,4,fail,13,9,10
Miller-Smith,EdTech,UK,16.0,15776427,1,4,fail,1,10,1
Arias-Alvarez,E-Commerce,US,5.0,12806699,2,4,fail,12,1,8
"Hays, Decker and Dorsey",AI,UK,2.0,17576867,6,4,fail,7,7,3
"Fischer, Mccarthy and Williams",EdTech,India,1.0,10294266,1,2,fail,11,1,4
"Rogers, Henry and Reyes",E-Commerce,US,3.0,6040116,1,4,success,12,10,10
Richards-Thomas,Gaming,UK,1.0,5639064,1,4,success,9,8,6
Thomas LLC,SaaS,India,2.0,13782870,2,6,fail,9,2,7
"Harris, Suarez and Park",FinTech,US,9.0,21915010,2,6,fail,10,4,8
"Riley, Montoya and Leblanc",AI,US,9.0,39581478,4,7,success,14,3,8
Espinoza LLC,HealthTech,India,4.0,13182654,1,5,fail,3,11,0
Ramirez Ltd,AI,US,4.0,15157173,1,3,fail,10,1,2
"Rodriguez, Schultz and Barr",Biotech,Singapore,2.0,25964122,3,6,fail,4,1,2
Mills Inc,Gaming,UK,3.0,11764547,1,5,fail,14,3,11
Riley Inc,E-Commerce,US,8.0,15899209,8,4,fail,14,3,11
"Whitehead, Smith and Oliver",E-Commerce,Canada,6.0,11420848,1,5,fail,14,3,12
"Garcia, Smith and Sanchez",HealthTech,US,0.0,12213562,1,4,fail,4,1,1
"Clark, Serrano and King",FinTech,US,6.0,25191180,2,4,fail,6,1,4
Greer Group,AI,Germany,0.0,20308048,2,3,fail,1,7,0
"Edwards, Rush and Wong",FinTech,Germany,0.0,14801635,2,4,success,9,2,2
Shaw Inc,HealthTech,US,4.0,23078837,2,4,fail,9,1,3
Hoffman-Bass,Biotech,US,8.0,35692502,3,5,success,9,5,2
Rice and Sons,EdTech,US,1.0,12691132,3,4,success,6,1,0
Glover-Ortiz,E-Commerce,US,0.0,12120143,4,6,fail,14,3,7
Thompson-Wallace,FinTech,US,0.0,1983838,1,1,fail,6,2,3
Walker-Johnson,AI,UK,3.0,25738682,2,4,success,11,5,5
"Peterson, Brown and Johnson",HealthTech,Canada,3.0,13435798,1,2,fail,11,3,2
"Lee, Campbell and Kelly",AI,US,9.0,21036620,4,4,success,9,12,4
Guerra-Haynes,SaaS,US,6.0,22010027,2,6,success,11,7,2
Morrison-Wilson,AI,Canada,23.0,28882837,2,3,success,14,1,12
Patton-Roberts,AI,Israel,0.0,23154199,2,8,fail,5,1,1
Wilson-Gonzalez,AI,India,0.0,25294457,3,7,fail,14,3,7
Beck-Cunningham,Gaming,US,0.0,8377209,2,4,fail,8,8,1
"Andersen, Klein and Rodriguez",Biotech,UK,3.0,35836143,5,8,fail,14,3,10
Cooper and Sons,AI,Canada,1.0,29590939,5,4,success,13,2,12
Duncan-Alvarez,E-Commerce,US,5.0,13396501,4,2,fail,14,3,9
"Johnson, Campos and Johnson",E-Commerce,India,0.0,8953633,1,5,fail,14,1,11
"Harris, Smith and Brown",HealthTech,India,0.0,10030388,4,5,fail,9,8,4
Benitez-Evans,AI,US,3.0,15965821,2,3,success,9,5,1
"Graves, Harrell and Figueroa",AI,Germany,2.0,23405038,2,3,fail,9,3,6
"Johnson, Richard and Ware",HealthTech,UK,9.0,25765151,2,3,fail,14,3,11
