company_name,founded_on,industry,headquarters,founder_experience,total_funding_usd,num_funding_rounds,investors_count,last_funding_date,status
"Taylor, Smith and Cameron",2013-08-13,Gaming,Germany,2.0,5432391,2,2,2015-05-20,fail
Torres Group,2021-09-09,E-Commerce,UK,10.0,17877105,2,3,2025-03-31,fail
"Stevens, Watson and Pena",2016-10-26,EdTech,UK,2.0,1000000,1,7,2023-03-17,fail
"Nelson, Harmon and Moss",2019-01-27,AI,US,9.0,27077586,3,6,2024-06-30,fail
"Higgins, Glass and Thompson",2014-09-29,HealthTech,UK,3.0,24952961,5,5,2023-06-22,success
Evans-Torres,2020-11-10,FinTech,India,10.0,31601180,2,7,2025-03-31,fail
Smith-Anderson,2013-03-17,SaaS,India,3.0,15987597,8,3,2015-02-15,fail
Diaz LLC,2013-03-31,Gaming,Israel,6.0,14871459,2,4,2014-10-09,fail
Fox Group,2011-12-18,AI,Germany,2.0,23876435,4,8,,success
Fields Group,2013-07-26,Biotech,India,4.0,34064720,2,4,2023-03-05,success
Ray-Patrick,2018-10-20,EdTech,Israel,2.0,10990286,4,3,2025-03-31,fail
Robles-Hernandez,2013-06-29,HealthTech,US,2.0,14372654,3,2,2017-01-21,fail
"Graham, Mcpherson and Larson",2016-01-30,AI,US,1.0,34825221,4,5,2023-05-24,success
Tanner-Robinson,2010-01-16,HealthTech,US,1.0,17390279,3,4,2018-10-13,fail
Mclean-Roberts,2022-09-15,HealthTech,US,2.0,10677269,2,6,2025-03-31,success
Webb Inc,2014-07-15,Gaming,UK,17.0,20660577,8,3,2017-03-28,success
Brown-Sharp,2012-08-29,FinTech,Israel,0.0,18096986,4,4,2016-03-17,fail
Jones-Hernandez,2019-11-10,Gaming,India,3.0,12682968,6,2,2025-03-31,fail
Phillips LLC,2011-10-02,EdTech,US,3.0,6094500,1,2,2019-09-11,fail
Gonzales-Woods,2019-01-27,HealthTech,US,2.0,14770429,2,4,2022-06-02,fail
"Ho, Baker and Harrington",2021-04-01,FinTech,US,0.0,23893603,3,3,2025-03-31,success
Erickson Group,2016-02-11,Gaming,Israel,14.0,18996012,2,7,2022-01-30,fail
"Aguilar, White and Villa",2019-10-07,HealthTech,UK,3.0,14143848,4,4,2024-07-12,success
Knight Inc,2016-09-16,AI,India,3.0,20757892,3,3,2022-07-27,success
"Williams, Owen and Hughes",2019-05-01,E-Commerce,US,0.0,15594361,2,2,2022-01-26,fail
White Inc,2013-01-09,AI,Canada,4.0,24564977,2,4,2018-09-23,fail
Nolan LLC,2013-02-06,SaaS,US,5.0,17597168,4,3,2022-03-15,fail
Jackson-Reyes,2013-05-01,Gaming,US,1.0,14434405,1,4,2020-06-15,fail
"Noble, Hernandez and Baker",2016-05-06,E-Commerce,US,4.0,14988898,1,3,2021-05-21,fail
Coleman-Hudson,2010-02-15,SaaS,Canada,1.0,11870541,1,4,2018-09-30,fail
Dunn and Sons,2020-06-05,FinTech,Israel,3.0,4309742,1,2,2021-06-23,fail
"Byrd, Bryant and Richard",2011-12-14,EdTech,Germany,0.0,11514410,4,7,2018-09-07,fail
Weiss LLC,2012-10-24,SaaS,UK,2.0,8125737,5,5,2018-09-02,fail
White-Peterson,2017-01-27,,Canada,0.0,20602974,1,8,2025-03-31,success
Hunt-Taylor,2021-12-02,FinTech,India,24.0,23125694,1,4,2023-01-27,fail
Kaufman-Wells,2017-04-08,EdTech,India,14.0,12114880,4,1,2020-07-09,success
"Mclean, Williams and Holmes",2010-09-06,FinTech,India,0.0,18442690,1,4,2011-11-08,success
Stanley-Flores,2012-02-07,Gaming,India,5.0,11781754,1,4,2018-02-13,fail
Walker Inc,2018-11-16,FinTech,India,4.0,33035385,3,5,2022-04-09,fail
West and Sons,2011-10-18,Gaming,India,0.0,7514335,3,5,2016-06-23,fail
David-Anderson,2013-11-01,HealthTech,India,6.0,20548389,6,7,2017-08-15,success
Kelley-Garcia,2016-05-22,FinTech,US,9.0,30938588,3,14,2024-04-04,fail
Myers Group,2010-04-09,,US,9.0,18429664,8,10,2018-10-23,fail
"Acosta, Williams and Lee",2017-05-24,HealthTech,India,5.0,8675668,8,8,2020-07-30,fail
"Carter, Hill and Hall",2016-08-06,SaaS,US,11.0,26808579,1,6,2023-11-04,fail
"Bell, Stanton and Cooper",2012-09-10,SaaS,India,7.0,12988473,4,3,2018-07-22,fail
Brown-Reed,2016-05-01,AI,US,8.0,24924461,6,9,2023-08-11,success
"Carter, Decker and Moore",2018-04-28,Biotech,US,6.0,39011401,3,3,2023-04-20,success
"Torres, Howard and Gonzalez",2022-05-14,Biotech,US,4.0,22693714,5,2,2025-03-31,success
"Alvarado, Ayers and Wilson",2022-11-22,AI,US,3.0,22030765,4,3,2024-12-08,fail
Leon-Estes,2016-02-06,SaaS,US,1.0,12305328,1,5,2020-07-17,fail
Henry-Miller,2010-08-29,HealthTech,US,11.0,26451130,6,4,2020-04-21,success
Parsons-Allen,2012-10-03,SaaS,India,0.0,19736739,3,5,,fail
Richards-Gonzales,2016-04-24,SaaS,US,13.0,19796854,1,2,2021-07-15,fail
Burke-Palmer,2015-05-29,EdTech,UK,1.0,6017621,8,3,2023-03-31,fail
Clark Ltd,2021-11-16,SaaS,US,6.0,14939261,6,2,2025-03-31,success
"Austin, Jones and Reyes",2021-06-08,E-Commerce,Germany,1.0,17298005,1,5,2025-03-31,fail
Obrien LLC,2017-08-10,EdTech,US,0.0,8608119,2,1,2018-10-31,fail
Green-Lawson,2019-03-30,SaaS,India,4.0,9655490,1,1,2025-03-31,success
"Morgan, Davidson and Barry",2021-06-06,FinTech,US,8.0,29389627,4,7,,success
Parks-Taylor,2020-07-24,SaaS,US,0.0,18904968,4,3,2024-03-27,success
Baker PLC,2011-09-24,FinTech,US,,16999556,2,3,2018-09-25,fail
Reynolds-Ballard,2011-05-10,,Canada,2.0,16306334,2,4,2019-12-04,fail
"Rodriguez, Medina and Lyons",2016-06-15,E-Commerce,Germany,1.0,9759799,1,2,2024-09-05,fail
Davis Ltd,2011-07-05,FinTech,Israel,0.0,16536593,1,4,2018-05-31,fail
Vasquez-Cohen,2011-03-30,AI,US,4.0,34375830,4,5,2013-01-14,success
Baxter LLC,2022-09-30,AI,Singapore,17.0,45193381,3,7,2025-03-31,fail
Sanchez-Griffin,2012-04-01,E-Commerce,US,1.0,12285163,2,2,2014-11-17,fail
"Stevens, Smith and Johnson",2017-06-17,SaaS,UK,0.0,14165629,1,3,2021-01-06,fail
Roman-Wood,2012-06-11,E-Commerce,US,3.0,17164701,2,4,2013-09-03,fail
Cortez Group,2011-06-17,EdTech,US,5.0,8342849,1,5,2012-09-25,fail
Moreno-Johnson,2020-03-04,SaaS,India,4.0,13627532,2,2,2021-03-27,fail
"Weber, Zamora and Reyes",2020-12-16,Gaming,Singapore,2.0,5683927,4,8,2025-03-31,success
"Garcia, Kane and Sampson",2014-09-14,Gaming,India,2.0,9217412,2,3,2021-02-21,fail
"Garcia, Smith and Stewart",2015-12-05,Biotech,India,1.0,21085311,1,4,2017-07-15,fail
Delgado-Mccarty,2018-06-21,SaaS,India,1.0,18813374,1,5,2024-03-09,fail
Leon and Sons,2010-03-10,FinTech,Canada,16.0,34562702,4,5,2013-06-09,success
"Pearson, Morgan and Roy",2011-12-18,E-Commerce,US,0.0,15829417,2,3,2016-12-04,fail
"Mason, Evans and Villarreal",2016-11-08,HealthTech,Israel,0.0,12161564,3,3,2024-01-17,fail
Barrera LLC,2010-12-20,FinTech,US,0.0,19903597,7,5,2018-12-02,fail
Daniels-Richards,2019-08-02,Gaming,US,8.0,17817879,2,4,2025-03-31,fail
Long-Gonzalez,2018-05-29,HealthTech,US,4.0,20073928,2,5,2021-10-25,fail
Avila Inc,2019-05-16,HealthTech,UK,2.0,3802588,2,5,2021-05-19,fail
George PLC,2019-02-09,,US,1.0,7503938,2,5,2023-06-20,success
"Simmons, Gates and Roberts",2021-01-01,FinTech,US,8.0,24030309,4,2,2025-03-31,fail
"Bird, Morgan and Page",2016-11-20,FinTech,India,3.0,18770371,1,5,2022-10-03,success
Munoz PLC,2010-01-08,E-Commerce,US,1.0,16716085,1,3,2013-03-27,fail
"Mcdonald, Martin and Marshall",2012-03-18,HealthTech,US,12.0,24409230,3,2,2019-05-18,success
"Carr, Smith and Potter",2013-12-02,AI,India,0.0,23452568,1,5,2021-11-12,fail
"Dodson, Bradley and George",2014-09-19,FinTech,India,2.0,21777062,1,7,2017-06-25,success
Fleming Inc,2020-04-11,EdTech,India,0.0,14558645,7,4,2025-03-31,success
"Espinoza, Garcia and Ortega",2014-10-23,Gaming,US,1.0,10057833,6,6,2017-03-27,fail
"Thomas, Barton and Jackson",2012-01-28,FinTech,UK,14.0,30621990,3,8,,fail
"Hooper, Fitzpatrick and Perkins",2010-02-16,EdTech,Canada,3.0,12867905,1,4,2014-12-20,fail
Payne-Rivera,2011-01-26,HealthTech,US,5.0,12735923,1,5,2019-10-27,fail
"Wright, Nguyen and Liu",2016-08-21,Gaming,US,0.0,4004573,1,10,2019-01-28,success
Jackson-Herrera,2019-04-01,E-Commerce,India,7.0,18261701,6,6,2025-03-31,fail
"Ramirez, Wilson and Alvarez",2011-10-29,AI,UK,1.0,28974263,8,6,2021-05-23,fail
Harrison-Hamilton,2021-05-19,FinTech,India,0.0,31396918,2,5,2025-03-31,fail
Mosley Inc,2017-04-29,Gaming,US,4.0,14713547,2,4,2021-09-03,fail
"Caldwell, Barker and Guzman",2018-12-18,E-Commerce,UK,3.0,15101561,2,3,2025-03-31,fail
Le Inc,2010-05-13,E-Commerce,US,4.0,9310371,1,4,2011-08-12,fail
Scott-Small,2010-06-09,HealthTech,US,1.0,17832662,3,3,2012-11-04,fail
Jones-Jones,2010-11-15,HealthTech,US,0.0,21552838,1,2,2017-05-08,fail
Rollins-Estes,2017-10-17,Gaming,Israel,12.0,15607956,8,5,2024-04-21,fail
"Pruitt, Medina and Oneal",2011-12-10,E-Commerce,Canada,4.0,15757052,1,3,2016-03-03,fail
Wyatt Ltd,2022-04-23,HealthTech,Canada,,17305454,1,4,2023-12-06,fail
Miles-Murillo,2021-09-16,FinTech,Canada,,12662267,8,3,2025-03-31,fail
"Rose, Lucas and Smith",2020-07-16,Gaming,India,10.0,19806319,4,4,2025-03-31,fail
Dodson Ltd,2019-01-20,HealthTech,US,9.0,14403216,4,4,2025-03-22,fail
Marks Inc,2012-01-23,EdTech,US,14.0,13986698,4,3,2020-07-11,fail
Bennett Inc,2020-03-25,AI,US,9.0,43548447,3,6,2025-03-31,fail
James LLC,2011-02-23,E-Commerce,India,11.0,19106562,1,3,,fail
James-Ortega,2014-01-02,,India,0.0,12345452,3,5,,fail
Meyer-Cooper,2017-03-29,Gaming,India,9.0,10809188,2,6,2024-11-05,fail
"Patterson, Davidson and Martin",2011-08-19,E-Commerce,US,,18220661,4,6,2016-01-19,fail
Mitchell-Hobbs,2015-09-08,AI,UK,14.0,50198896,8,9,2021-09-30,fail
Ruiz-Smith,2013-10-30,Biotech,Canada,3.0,35538260,3,4,2020-07-24,fail
Nichols Group,2017-03-22,Biotech,US,5.0,19789056,5,3,2020-04-12,fail
"Phillips, Miller and Solomon",2014-04-15,E-Commerce,Canada,15.0,22796999,2,6,2015-08-29,fail
Andrews Ltd,2011-01-27,HealthTech,Singapore,2.0,14923751,2,3,2018-01-01,fail
Whitaker-Wilkinson,2016-03-23,AI,India,2.0,29381517,6,3,2022-09-14,success
Klein Inc,2016-07-01,Biotech,US,1.0,36950062,4,6,2021-01-24,success
Davis-Caldwell,2018-02-13,AI,Singapore,4.0,31840672,2,5,2021-05-11,fail
Perez-Bell,2011-07-31,FinTech,US,0.0,21242868,1,3,2020-04-07,fail
Carroll-Moody,2020-11-27,SaaS,India,3.0,23741907,2,4,2025-03-31,fail
"Randall, Nguyen and Hill",2015-03-08,AI,Germany,0.0,32555699,2,4,2024-01-13,fail
"Manning, Deleon and Graham",2013-06-22,EdTech,India,11.0,9897472,5,1,2021-10-25,fail
"Alexander, Miller and King",2021-07-05,EdTech,Israel,17.0,12662689,1,7,2025-03-31,fail
Palmer LLC,2011-12-01,AI,UK,0.0,14080456,1,4,2021-01-30,success
"Myers, Nguyen and Lynn",2022-12-26,Gaming,Canada,3.0,15703222,1,5,2025-03-31,fail
Williams-Lane,2021-06-06,SaaS,UK,16.0,27440312,8,2,2025-02-13,success
Walsh Group,2012-06-23,Gaming,US,0.0,14496054,1,3,2016-06-04,success
Brown and Sons,2022-08-19,Gaming,Canada,3.0,10229550,3,4,2025-03-31,fail
"Conrad, Mcclure and Moses",2020-08-31,SaaS,Germany,0.0,11727727,1,5,2025-03-31,fail
Miller PLC,2022-01-31,E-Commerce,India,,10141514,2,4,2025-03-31,fail
Allen and Sons,2020-04-10,FinTech,US,3.0,20358532,1,6,2025-03-31,fail
Lopez-Miller,2012-01-29,AI,Germany,5.0,23132581,2,5,2016-11-04,fail
Navarro and Sons,2013-03-05,HealthTech,US,,10271042,1,5,2016-04-12,fail
"Cole, Wheeler and Smith",2011-08-06,AI,US,1.0,23292140,2,5,2014-04-15,fail
Pena Ltd,2010-12-03,SaaS,Canada,0.0,17951816,1,4,2019-11-09,fail
"Mcguire, Cooper and Potter",2012-11-11,E-Commerce,UK,1.0,7336316,2,5,2020-02-06,fail
"Schmidt, Miller and Gomez",2016-10-09,E-Commerce,US,0.0,6962426,1,7,,fail
Lewis-Williams,2020-12-08,E-Commerce,UK,5.0,14795234,1,5,2025-03-31,fail
"Jones, Martin and Reynolds",2011-07-11,AI,US,0.0,21371162,2,4,2020-07-30,fail
Haynes and Sons,2018-11-16,AI,India,2.0,10276264,1,5,2025-03-31,fail
Howard Group,2021-01-17,E-Commerce,Singapore,10.0,16903335,1,3,2025-03-31,fail
"Galloway, Anderson and Smith",2013-07-12,EdTech,Canada,3.0,9538495,1,2,2017-10-21,fail
Ellis-Roach,2010-01-31,EdTech,US,0.0,4810522,1,5,2018-12-28,success
"Mathews, Nelson and Vargas",2012-05-16,HealthTech,UK,0.0,12650204,1,4,2014-12-26,success
Reed-Avery,2012-05-09,,US,1.0,9024937,1,6,2017-07-03,fail
Craig PLC,2012-02-29,FinTech,US,6.0,22667986,4,2,2014-03-11,success
"Mullins, Chaney and Rodriguez",2016-01-30,E-Commerce,UK,3.0,16179554,8,2,2017-03-05,fail
Perez Group,2018-12-12,,Germany,10.0,29950559,3,7,2024-01-18,fail
Ruiz Ltd,2014-03-13,Biotech,US,0.0,21269891,1,4,2023-04-27,fail
Haynes Group,2022-09-19,HealthTech,Germany,0.0,12483358,3,3,2025-03-31,fail
Richardson-Anderson,2016-10-14,EdTech,US,3.0,8326764,1,6,2025-03-31,success
Thornton-Smith,2011-01-01,FinTech,India,2.0,18612172,3,5,2018-09-27,fail
"Santana, Ortiz and Hutchinson",2016-07-27,E-Commerce,Germany,4.0,11356328,8,4,2023-05-31,fail
Lin-Hayes,2018-03-04,EdTech,Israel,,2808314,1,8,2025-03-31,fail
Williams and Sons,2015-04-03,HealthTech,Canada,4.0,13636421,1,4,2023-06-16,fail
"Hebert, Keller and Smith",2018-06-24,AI,India,1.0,27594926,8,6,2023-02-07,success
Hayes-Smith,2012-10-29,HealthTech,UK,6.0,18290602,3,4,2022-07-28,fail
Simmons-Hodge,2019-02-18,FinTech,US,6.0,20022148,3,7,2025-03-31,fail
King-White,2020-02-29,FinTech,UK,0.0,16870128,1,5,2023-10-17,fail
Miller-Harrison,2015-07-11,AI,Singapore,2.0,33578903,2,6,2023-02-11,fail
Warner-Rose,2019-08-18,EdTech,US,4.0,6532105,1,2,2022-05-04,fail
Smith-Wood,2019-03-11,EdTech,Germany,11.0,12504391,2,3,2025-03-31,fail
"Brooks, Petty and House",2013-12-25,FinTech,Canada,4.0,24400945,3,5,2019-05-31,success
Johnson Inc,2011-12-27,FinTech,Germany,11.0,25557190,4,3,2014-02-13,success
Reynolds-Lucero,2022-04-27,E-Commerce,India,1.0,15710908,1,5,2025-03-31,fail
Chavez LLC,2022-06-13,SaaS,US,3.0,20118051,1,7,,fail
"Cabrera, Simon and Wang",2014-09-02,SaaS,Israel,1.0,15069651,1,5,2017-09-25,fail
Quinn-Bartlett,2012-07-18,E-Commerce,India,2.0,7488439,1,2,2015-01-17,fail
Douglas-Thompson,2015-12-03,SaaS,US,5.0,15234494,1,3,2022-04-17,fail
Duncan Group,2010-03-04,AI,UK,2.0,27097629,5,4,2013-08-02,fail
Garrett Inc,2021-06-26,E-Commerce,US,3.0,14637075,2,3,2025-03-31,success
Pitts LLC,2011-02-21,HealthTech,India,2.0,12023764,4,2,2019-10-13,success
Martinez-Meyer,2015-10-20,HealthTech,Israel,3.0,15794923,1,4,2018-04-20,fail
Kidd-Byrd,2021-08-11,Gaming,UK,5.0,11006780,1,1,2025-03-31,fail
"Randolph, Mack and Potter",2016-06-12,E-Commerce,US,1.0,11411184,2,4,2023-09-03,success
Ray Inc,2015-04-13,SaaS,US,0.0,14565425,1,6,2018-01-31,fail
"Wood, Jones and Joseph",2019-09-08,AI,India,0.0,23347559,3,4,2025-03-31,fail
"Hobbs, Ward and Gonzales",2021-05-09,AI,US,,25277420,5,4,2025-03-31,fail
"Clayton, Bush and Welch",2013-11-13,Biotech,India,1.0,18684482,2,4,2018-06-15,fail
Gould LLC,2020-03-27,AI,India,1.0,17091186,4,5,2024-08-28,fail
"Castaneda, Hays and Harris",2018-08-09,HealthTech,Canada,7.0,22255104,2,4,2020-03-02,fail
Brock-Munoz,2022-06-02,EdTech,Germany,1.0,4630889,5,1,2025-03-31,success
"Richardson, Vasquez and Stephens",2022-10-20,AI,US,1.0,25693392,3,7,2025-03-31,fail
Lewis Group,2017-06-04,EdTech,Singapore,5.0,10002834,3,2,2022-01-05,fail
"Barrett, Gardner and Williams",2015-04-22,FinTech,Germany,1.0,10134812,1,3,2021-12-12,success
Wallace Ltd,2016-12-07,SaaS,US,3.0,18163737,3,2,,fail
Wright-Miller,2018-07-29,SaaS,Canada,0.0,16464232,1,4,2024-05-11,fail
Hill-Cobb,2019-12-22,E-Commerce,Singapore,3.0,16048363,4,2,2022-05-02,success
"Fuentes, Young and Griffin",2015-08-26,AI,US,1.0,10063786,1,8,2019-12-05,fail
"Hall, Smith and Bell",2015-09-14,,US,4.0,8608642,8,8,2019-03-05,fail
Parks and Sons,2022-10-21,SaaS,India,7.0,23461392,1,6,2025-03-31,success
Kirby PLC,2018-10-24,SaaS,US,0.0,5212325,1,1,2023-02-03,fail
Sanchez-Garcia,2013-10-31,AI,US,,15271680,4,2,2019-02-11,fail
"Woods, Newman and Chavez",2020-02-16,FinTech,India,4.0,18182059,2,3,2021-04-11,success
"Underwood, Taylor and Walker",2016-11-02,HealthTech,US,1.0,16855143,5,4,2021-04-24,fail
